feature_type,feature,allowed_by_bio,gradient_of_event_loss,optimizer_step_effect
start,START->O,True,-0.06797385620915034,梯度下降会提高这个分数
start,START->B-X,True,-0.16601307189542483,梯度下降会提高这个分数
start,START->I-X,False,0.20000000000000004,梯度下降会降低这个分数
start,START->B-Y,True,-0.16601307189542483,梯度下降会提高这个分数
start,START->I-Y,False,0.20000000000000004,梯度下降会降低这个分数
transition,O->O,True,-0.08261437908496738,梯度下降会提高这个分数
transition,O->B-X,True,-0.12836601307189546,梯度下降会提高这个分数
transition,O->I-X,False,0.12000000000000002,梯度下降会降低这个分数
transition,O->B-Y,True,-0.12836601307189546,梯度下降会提高这个分数
transition,O->I-Y,False,0.12000000000000002,梯度下降会降低这个分数
transition,B-X->O,True,-0.08261437908496738,梯度下降会提高这个分数
transition,B-X->B-X,True,-0.12836601307189546,梯度下降会提高这个分数
transition,B-X->I-X,True,-0.1283660130718955,梯度下降会提高这个分数
transition,B-X->B-Y,True,-0.12836601307189546,梯度下降会提高这个分数
transition,B-X->I-Y,False,0.12000000000000002,梯度下降会降低这个分数
transition,I-X->O,True,0.07424836601307189,梯度下降会降低这个分数
transition,I-X->B-X,True,0.0677124183006536,梯度下降会降低这个分数
transition,I-X->I-X,True,0.06771241830065361,梯度下降会降低这个分数
transition,I-X->B-Y,True,0.0677124183006536,梯度下降会降低这个分数
transition,I-X->I-Y,False,0.12000000000000002,梯度下降会降低这个分数
transition,B-Y->O,True,-0.08261437908496738,梯度下降会提高这个分数
transition,B-Y->B-X,True,-0.12836601307189546,梯度下降会提高这个分数
transition,B-Y->I-X,False,0.12000000000000002,梯度下降会降低这个分数
transition,B-Y->B-Y,True,-0.12836601307189546,梯度下降会提高这个分数
transition,B-Y->I-Y,True,-0.1283660130718955,梯度下降会提高这个分数
transition,I-Y->O,True,0.07424836601307189,梯度下降会降低这个分数
transition,I-Y->B-X,True,0.0677124183006536,梯度下降会降低这个分数
transition,I-Y->I-X,False,0.12000000000000002,梯度下降会降低这个分数
transition,I-Y->B-Y,True,0.0677124183006536,梯度下降会降低这个分数
transition,I-Y->I-Y,True,0.06771241830065361,梯度下降会降低这个分数
