variant,baseline,cases,exact_error_rate,span_error_rate,mean_token_error,auroc_exact_error,auprc_exact_error,auroc_span_error,auprc_span_error,spearman_token_error,top20_exact_error,bottom20_exact_error,risk_gap_exact,top20_token_error,bottom20_token_error,risk_gap_token
B0_unconstrained,event_risk_1_minus_p,3000,0.7683333333333333,0.7683333333333333,0.12694370089388443,0.7384010362209148,0.8828818616755085,0.7384010362209148,0.8828818616755085,0.3117293156736652,0.9116666666666666,0.4666666666666667,0.44499999999999995,0.16233074905558942,0.07215558183971113,0.09017516721587829
B0_unconstrained,token_marginal_entropy,3000,0.7683333333333333,0.7683333333333333,0.12694370089388443,0.8304854944677663,0.9388191884685336,0.8304854944677663,0.9388191884685336,0.4558612178328836,0.985,0.3983333333333333,0.5866666666666667,0.19001267330515867,0.06932358168542209,0.12068909161973658
B0_unconstrained,sequence_entropy,3000,0.7683333333333333,0.7683333333333333,0.12694370089388443,0.8339200049938358,0.9404666969948079,0.8339200049938358,0.9404666969948079,0.4345782381959938,0.9833333333333333,0.40166666666666667,0.5816666666666666,0.18355236644862497,0.07246068557210358,0.11109168087652138
B0_unconstrained,viterbi_margin_inverse,3000,0.7683333333333333,0.7683333333333333,0.12694370089388443,0.7860431654676259,0.9039505884180374,0.7860431654676259,0.9039505884180374,0.3565659573072533,0.9383333333333334,0.4216666666666667,0.5166666666666666,0.1605828891761618,0.07144802998317766,0.08913485919298415
B0_unconstrained,max_sequence_probability_inverse,3000,0.7683333333333333,0.7683333333333333,0.12694370089388443,0.8211376582031554,0.9334113585500696,0.8211376582031554,0.9334113585500696,0.4217200120961932,0.9733333333333334,0.40166666666666667,0.5716666666666668,0.18172450627853115,0.07097791590246416,0.11074659037606699
B0_unconstrained,neg_log_viterbi_probability,3000,0.7683333333333333,0.7683333333333333,0.12694370089388443,0.8211376582031554,0.9334113585500696,0.8211376582031554,0.9334113585500696,0.4217200120961932,0.9733333333333334,0.40166666666666667,0.5716666666666668,0.18172450627853115,0.07097791590246416,0.11074659037606699
B4_semi_event_0.1,event_risk_1_minus_p,3000,0.787,0.787,0.13031485403388166,0.689541645373204,0.8864811285897148,0.689541645373204,0.8864811285897148,0.28859615232253194,0.9116666666666666,0.6466666666666666,0.265,0.16762847975477863,0.09003852161606357,0.07758995813871505
B4_semi_event_0.1,token_marginal_entropy,3000,0.787,0.787,0.13031485403388166,0.8169299102062135,0.9382354284481449,0.8169299102062135,0.9382354284481449,0.39715371653398357,0.9783333333333334,0.4483333333333333,0.53,0.18539863641514703,0.08258464990479793,0.1028139865103491
B4_semi_event_0.1,sequence_entropy,3000,0.787,0.787,0.13031485403388166,0.8178452805401282,0.9394396351138223,0.8178452805401282,0.9394396351138223,0.3785037124535068,0.9833333333333333,0.455,0.5283333333333333,0.17856579237155054,0.08345587236308553,0.09510992000846501
B4_semi_event_0.1,viterbi_margin_inverse,3000,0.787,0.787,0.13031485403388166,0.7748792155256353,0.9063056852634951,0.7748792155256353,0.9063056852634951,0.30716355325895395,0.9316666666666666,0.4666666666666667,0.46499999999999997,0.16173398079188642,0.08680715289504227,0.07492682789684414
B4_semi_event_0.1,max_sequence_probability_inverse,3000,0.787,0.787,0.13031485403388166,0.802985923446936,0.9311728190879061,0.802985923446936,0.9311728190879061,0.3589597855361697,0.9666666666666667,0.4583333333333333,0.5083333333333333,0.1731052422329126,0.08421889695681499,0.08888634527609761
B4_semi_event_0.1,neg_log_viterbi_probability,3000,0.787,0.787,0.13031485403388166,0.802987249109983,0.9311731538704758,0.802987249109983,0.9311731538704758,0.35896213242468744,0.9666666666666667,0.4583333333333333,0.5083333333333333,0.1731052422329126,0.08421889695681499,0.08888634527609761
